entity_id	business_name	business_address	country
S2-2001	Amazon India Pvt Ltd	Plot 7, BKC, Mumbai	India
S2-2002	Microsoft Corp India	Near Cyber Hub, DLF Phase 2, Gurgaon	India
S2-2003	TCS Ltd	Nariman Point, Mumbai MS	India
S2-2004	Reliance Ind Ltd	222 Nariman Point, Mumbai	India
S2-2005	Google Inc	1600 Amphitheatre Pkwy, Mountain View CA	US
S2-2006	Apple Computer Inc	1 Apple Park Way, Cupertino	US
S2-2007	Infosys Ltd	Electronics City, Bangalore 560100	India
S2-2008	Walmart Stores Inc	Bentonville Arkansas	US
S2-2009	HDFC Bank Ltd	Lower Parel, Mumbai	India
S2-2010	Tesla Motors Inc	Austin Texas	US
